INFO  - 2021-02-14 19:46:22.917; com.inetBanking.TestCases.TC_LoginTest_001; URL is opened
INFO  - 2021-02-14 19:46:23.253; com.inetBanking.TestCases.TC_LoginTest_001; User name is entered
INFO  - 2021-02-14 19:46:23.345; com.inetBanking.TestCases.TC_LoginTest_001; password is entered
INFO  - 2021-02-14 19:46:26.287; com.inetBanking.TestCases.TC_LoginTest_001; login test is passed
INFO  - 2021-02-15 22:50:47.300; com.inetBanking.TestCases.TC_LoginTest_001; URL is opened
INFO  - 2021-02-15 22:50:48.326; com.inetBanking.TestCases.TC_LoginTest_001; User name is entered
INFO  - 2021-02-15 22:50:48.476; com.inetBanking.TestCases.TC_LoginTest_001; password is entered
INFO  - 2021-02-15 22:50:57.756; com.inetBanking.TestCases.TC_LoginTest_001; login test is passed
INFO  - 2021-02-15 23:34:11.491; com.inetBanking.TestCases.TC_LoginTest_001; URL is opened
INFO  - 2021-02-15 23:34:12.752; com.inetBanking.TestCases.TC_LoginTest_001; User name is entered
INFO  - 2021-02-15 23:34:12.972; com.inetBanking.TestCases.TC_LoginTest_001; password is entered
INFO  - 2021-02-15 23:34:26.604; com.inetBanking.TestCases.TC_LoginTest_001; login test is passed
INFO  - 2021-02-16 17:17:54.303; com.inetBanking.TestCases.TC_LoginTest_001; URL is opened
INFO  - 2021-02-16 17:17:57.808; com.inetBanking.TestCases.TC_LoginTest_001; User name is entered
INFO  - 2021-02-16 17:17:58.021; com.inetBanking.TestCases.TC_LoginTest_001; password is entered
INFO  - 2021-02-16 17:18:09.352; com.inetBanking.TestCases.TC_LoginTest_001; login test is passed
INFO  - 2021-02-16 20:56:00.538; com.inetBanking.TestCases.TC_LoginTest_001; URL is opened
INFO  - 2021-02-16 20:56:02.085; com.inetBanking.TestCases.TC_LoginTest_001; User name is entered
INFO  - 2021-02-16 20:56:02.434; com.inetBanking.TestCases.TC_LoginTest_001; password is entered
INFO  - 2021-02-16 20:56:06.262; com.inetBanking.TestCases.TC_LoginTest_001; login test is passed
INFO  - 2021-02-16 21:08:04.957; com.inetBanking.TestCases.TC_LoginTest_001; URL is opened
INFO  - 2021-02-16 21:08:05.590; com.inetBanking.TestCases.TC_LoginTest_001; User name is entered
INFO  - 2021-02-16 21:08:05.664; com.inetBanking.TestCases.TC_LoginTest_001; password is entered
INFO  - 2021-02-16 21:11:39.281; com.inetBanking.TestCases.TC_LoginTest_001; URL is opened
INFO  - 2021-02-16 21:11:41.829; com.inetBanking.TestCases.TC_LoginTest_001; User name is entered
INFO  - 2021-02-16 21:11:41.992; com.inetBanking.TestCases.TC_LoginTest_001; password is entered
INFO  - 2021-02-16 21:32:14.454; com.inetBanking.TestCases.TC_LoginTest_001; URL is opened
INFO  - 2021-02-16 21:32:15.329; com.inetBanking.TestCases.TC_LoginTest_001; User name is entered
INFO  - 2021-02-16 21:32:15.417; com.inetBanking.TestCases.TC_LoginTest_001; password is entered
INFO  - 2021-02-17 12:13:36.668; com.inetBanking.TestCases.TC_LoginDDT_002; UserName provided
INFO  - 2021-02-17 12:13:37.547; com.inetBanking.TestCases.TC_LoginDDT_002; Password is provided
INFO  - 2021-02-17 12:13:49.051; com.inetBanking.TestCases.TC_LoginDDT_002; Login is passed
INFO  - 2021-02-17 12:14:01.797; com.inetBanking.TestCases.TC_LoginDDT_002; UserName provided
INFO  - 2021-02-17 12:14:03.141; com.inetBanking.TestCases.TC_LoginDDT_002; Password is provided
INFO  - 2021-02-17 12:14:11.577; com.inetBanking.TestCases.TC_LoginDDT_002; UserName provided
INFO  - 2021-02-17 12:14:11.778; com.inetBanking.TestCases.TC_LoginDDT_002; Password is provided
INFO  - 2021-02-17 12:14:17.991; com.inetBanking.TestCases.TC_LoginDDT_002; UserName provided
INFO  - 2021-02-17 12:14:18.547; com.inetBanking.TestCases.TC_LoginDDT_002; Password is provided
INFO  - 2021-02-17 12:14:24.525; com.inetBanking.TestCases.TC_LoginDDT_002; Login is passed
INFO  - 2021-02-17 16:44:42.398; com.inetBanking.TestCases.TC_AddCustomerTest_003; username is provide
INFO  - 2021-02-17 16:44:42.616; com.inetBanking.TestCases.TC_AddCustomerTest_003; password is provide
INFO  - 2021-02-17 16:44:50.308; com.inetBanking.TestCases.TC_AddCustomerTest_003; Providing the customer details.......
INFO  - 2021-02-17 16:44:57.449; com.inetBanking.TestCases.TC_AddCustomerTest_003; Validation started......
INFO  - 2021-02-17 16:52:08.836; com.inetBanking.TestCases.TC_AddCustomerTest_003; username is provide
INFO  - 2021-02-17 16:52:09.088; com.inetBanking.TestCases.TC_AddCustomerTest_003; password is provide
INFO  - 2021-02-17 16:52:23.887; com.inetBanking.TestCases.TC_AddCustomerTest_003; Providing the customer details.......
INFO  - 2021-02-17 16:52:31.074; com.inetBanking.TestCases.TC_AddCustomerTest_003; Validation started......
INFO  - 2021-02-17 16:55:14.983; com.inetBanking.TestCases.TC_AddCustomerTest_003; username is provide
INFO  - 2021-02-17 16:55:15.139; com.inetBanking.TestCases.TC_AddCustomerTest_003; password is provide
INFO  - 2021-02-17 16:55:40.943; com.inetBanking.TestCases.TC_AddCustomerTest_003; Providing the customer details.......
INFO  - 2021-02-17 16:55:51.266; com.inetBanking.TestCases.TC_AddCustomerTest_003; Validation started......
INFO  - 2021-02-17 16:57:33.768; com.inetBanking.TestCases.TC_AddCustomerTest_003; username is provide
INFO  - 2021-02-17 16:57:34.538; com.inetBanking.TestCases.TC_AddCustomerTest_003; password is provide
INFO  - 2021-02-17 16:57:55.102; com.inetBanking.TestCases.TC_AddCustomerTest_003; Providing the customer details.......
INFO  - 2021-02-17 16:58:05.326; com.inetBanking.TestCases.TC_AddCustomerTest_003; Validation started......
INFO  - 2021-02-17 17:06:19.959; com.inetBanking.TestCases.TC_AddCustomerTest_003; username is provide
INFO  - 2021-02-17 17:06:20.130; com.inetBanking.TestCases.TC_AddCustomerTest_003; password is provide
INFO  - 2021-02-17 17:06:27.306; com.inetBanking.TestCases.TC_AddCustomerTest_003; Providing the customer details.......
INFO  - 2021-02-17 17:06:38.004; com.inetBanking.TestCases.TC_AddCustomerTest_003; Validation started......
INFO  - 2021-02-17 17:11:52.052; com.inetBanking.TestCases.TC_AddCustomerTest_003; username is provide
INFO  - 2021-02-17 17:11:52.221; com.inetBanking.TestCases.TC_AddCustomerTest_003; password is provide
INFO  - 2021-02-17 17:12:10.039; com.inetBanking.TestCases.TC_AddCustomerTest_003; Providing the customer details.......
INFO  - 2021-02-17 17:12:23.947; com.inetBanking.TestCases.TC_AddCustomerTest_003; Validation started......
INFO  - 2021-02-17 17:13:11.622; com.inetBanking.TestCases.TC_AddCustomerTest_003; username is provide
INFO  - 2021-02-17 17:13:11.733; com.inetBanking.TestCases.TC_AddCustomerTest_003; password is provide
INFO  - 2021-02-17 17:13:19.693; com.inetBanking.TestCases.TC_AddCustomerTest_003; Providing the customer details.......
INFO  - 2021-02-17 17:13:38.972; com.inetBanking.TestCases.TC_AddCustomerTest_003; Validation started......
INFO  - 2021-02-17 17:13:39.122; com.inetBanking.TestCases.TC_AddCustomerTest_003; Testcases are passed.......
INFO  - 2021-02-17 17:21:00.605; com.inetBanking.TestCases.TC_LoginTest_001; URL is opened
INFO  - 2021-02-17 17:21:01.020; com.inetBanking.TestCases.TC_LoginTest_001; User name is entered
INFO  - 2021-02-17 17:21:01.127; com.inetBanking.TestCases.TC_LoginTest_001; password is entered
INFO  - 2021-02-17 17:21:24.918; com.inetBanking.TestCases.TC_LoginDDT_002; UserName provided
INFO  - 2021-02-17 17:21:24.998; com.inetBanking.TestCases.TC_LoginDDT_002; Password is provided
